Date,Open,High,Low,Close,Adj Close,Volume
2007-01-05,26566.279296875,26566.279296875,26112.76953125,26135.599609375,26135.599609375,105575400
2007-01-08,26135.599609375,26282.390625,26071.66015625,26281.640625,26281.640625,122179800
2007-01-09,26287.220703125,26342.470703125,25627.9296875,25783.0390625,25783.0390625,180993900
2007-01-10,25780.83984375,25954.130859375,25400.330078125,25885.80078125,25885.80078125,138084700
2007-01-11,25882.740234375,26290.69921875,25851.150390625,26247.900390625,26247.900390625,140544800
2007-01-12,26247.900390625,26335.2890625,26091.359375,26324.380859375,26324.380859375,100066800
2007-01-15,26324.380859375,26484.060546875,26313.01953125,26480.029296875,26480.029296875,27718800
2007-01-16,26479.830078125,26487.169921875,26333.560546875,26480.330078125,26480.330078125,91066000
2007-01-17,26480.330078125,26610.609375,26381.939453125,26558.5,26558.5,133658200
2007-01-18,26556.66015625,26594.599609375,26112.80078125,26112.869140625,26112.869140625,155636700
2007-01-19,26112.869140625,26304.509765625,25939.439453125,26213.380859375,26213.380859375,137020400
2007-01-22,26213.26953125,26432.25,26042.060546875,26432.25,26432.25,124941800
2007-01-23,26432.630859375,26811.119140625,26419.220703125,26810.0,26810.0,164098900
2007-01-24,26813.689453125,27338.369140625,26813.689453125,27338.30078125,27338.30078125,249127300
2007-01-25,27341.48046875,27453.919921875,26793.69921875,26899.33984375,26899.33984375,153883400
2007-01-26,26899.33984375,27049.720703125,26595.69921875,27045.7109375,27045.7109375,174052300
2007-01-29,27036.859375,27036.859375,26721.5,26834.05078125,26834.05078125,137731600
2007-01-30,26838.1796875,27154.1796875,26823.619140625,27135.369140625,27135.369140625,145672800
2007-01-31,27136.720703125,27621.98046875,27074.0,27561.490234375,27561.490234375,180003800
2007-02-01,27561.490234375,27945.30078125,27561.490234375,27842.759765625,27842.759765625,181712800
2007-02-02,27842.619140625,28005.94921875,27818.0390625,27933.0703125,27933.0703125,128897300
2007-02-07,28067.2890625,28293.439453125,28012.259765625,28123.759765625,28123.759765625,157970100
2007-02-08,28225.33984375,28291.490234375,27921.279296875,28197.259765625,28197.259765625,276774100
2007-02-09,28228.7109375,28346.009765625,27862.630859375,27906.890625,27906.890625,164346500
2007-02-12,27906.890625,27975.73046875,27624.970703125,27972.23046875,27972.23046875,119112200
2007-02-13,27972.689453125,28278.970703125,27866.4296875,28262.650390625,28262.650390625,176896000
2007-02-14,28262.650390625,28678.310546875,28256.41015625,28539.689453125,28539.689453125,187197700
2007-02-15,28539.689453125,28619.23046875,28388.849609375,28498.75,28498.75,145614300
2007-02-16,28500.19921875,28525.990234375,28301.3203125,28491.0703125,28491.0703125,102281600
2007-02-19,28491.0703125,28601.23046875,28491.0703125,28590.169921875,28590.169921875,211632000
2007-02-20,28590.4609375,28646.16015625,28355.919921875,28589.66015625,28589.66015625,130141100
2007-02-21,28594.01953125,28715.9609375,28425.650390625,28715.9609375,28715.9609375,189293700
2007-02-22,28715.9609375,28940.109375,28505.580078125,28676.48046875,28676.48046875,129334600
2007-02-23,28676.509765625,28691.4609375,28353.48046875,28505.720703125,28505.720703125,114420200
2007-02-26,28505.720703125,28639.130859375,28029.1796875,28046.16015625,28046.16015625,134842200
2007-02-27,28040.66015625,28040.66015625,26418.8203125,26418.8203125,26418.8203125,332633900
2007-02-28,26420.640625,26804.7890625,26320.259765625,26638.94921875,26638.94921875,225400400
2007-03-01,26581.58984375,26689.80078125,25691.580078125,26647.650390625,26647.650390625,196228400
2007-03-02,26642.25,26801.48046875,26320.970703125,26321.119140625,26321.119140625,125166200
2007-03-05,26319.73046875,26352.849609375,25780.580078125,25788.369140625,25788.369140625,135085500
2007-03-06,25806.26953125,26432.390625,25806.26953125,26355.640625,26355.640625,116339200
2007-03-07,26355.640625,26566.279296875,26184.390625,26184.390625,26184.390625,98693200
2007-03-08,26207.5,26776.19921875,26207.5,26773.7890625,26773.7890625,126534400
2007-03-09,26773.619140625,27118.05078125,26752.630859375,27106.529296875,27106.529296875,119177200
2007-03-12,27105.130859375,27261.279296875,26927.310546875,27261.169921875,27261.169921875,74253800
2007-03-13,27259.55078125,27259.55078125,26568.630859375,26589.19921875,26589.19921875,131984800
2007-03-14,26588.5703125,26745.3203125,26295.330078125,26719.3203125,26719.3203125,136174800
2007-03-15,26718.439453125,26998.509765625,26685.029296875,26883.529296875,26883.529296875,81389600
2007-03-16,26883.529296875,26944.970703125,26657.08984375,26901.419921875,26901.419921875,86824000
2007-03-20,26901.419921875,27409.740234375,26901.419921875,27407.4609375,27407.4609375,122848500
2007-03-21,27408.720703125,28229.73046875,27408.720703125,28219.55078125,28219.55078125,220316400
2007-03-22,28231.650390625,28390.73046875,28134.76953125,28258.80078125,28258.80078125,156877800
2007-03-23,28283.0,28391.51953125,28212.69921875,28272.029296875,28272.029296875,95159800
2007-03-26,28272.029296875,28325.509765625,28020.619140625,28158.970703125,28158.970703125,71195600
2007-03-27,28158.970703125,28164.41015625,27853.66015625,28124.330078125,28124.330078125,121930400
2007-03-28,28107.919921875,28161.33984375,27811.0390625,28098.279296875,28098.279296875,110999400
2007-03-29,28099.470703125,28704.240234375,28099.470703125,28704.240234375,28704.240234375,167303900
2007-03-30,28704.240234375,28756.470703125,28487.58984375,28747.689453125,28747.689453125,142322600
2007-04-02,28749.4609375,29268.400390625,28746.75,29171.51953125,29171.51953125,131640900
